# r/A   g_OO    g_OH    g_HH
1.158749999999999947e+00 0.000000000000000000e+00 3.834081451102306914e-01 1.380269322396831221e-02
1.181249999999999911e+00 0.000000000000000000e+00 1.564312650758560574e-01 2.262842199210496688e-02
1.203749999999999876e+00 0.000000000000000000e+00 7.152945463405276094e-02 4.215974478430924849e-02
1.226250000000000062e+00 0.000000000000000000e+00 2.647591507384016232e-02 6.938515674523627885e-02
1.248750000000000027e+00 0.000000000000000000e+00 7.923242793573268342e-03 1.126861197308198365e-01
1.271249999999999991e+00 0.000000000000000000e+00 1.698947400726522842e-03 1.673463189715625188e-01
1.293749999999999956e+00 0.000000000000000000e+00 2.050461142347755495e-03 2.358030313699919500e-01
1.316249999999999920e+00 0.000000000000000000e+00 1.188576452962738063e-03 3.454795556611691132e-01
1.338749999999999885e+00 0.000000000000000000e+00 3.829869893785403938e-04 4.898403594151528040e-01
1.361249999999999849e+00 0.000000000000000000e+00 2.222587094539373986e-03 6.126931757280213997e-01
1.383750000000000036e+00 0.000000000000000000e+00 4.301794110361656723e-03 7.933225305191949905e-01
1.406250000000000000e+00 0.000000000000000000e+00 5.900757900948981616e-03 1.000352015913821946e+00
1.428749999999999964e+00 0.000000000000000000e+00 1.445906481029573740e-02 1.193377232831152490e+00
1.451249999999999929e+00 0.000000000000000000e+00 2.900614762141362490e-02 1.401746527187639479e+00
1.473749999999999893e+00 0.000000000000000000e+00 4.456113579370027389e-02 1.529616292492974150e+00
1.496249999999999858e+00 0.000000000000000000e+00 5.978762634860541880e-02 1.672213918488685724e+00
1.518750000000000044e+00 0.000000000000000000e+00 1.020720426707872053e-01 1.767364027468819598e+00
1.541250000000000009e+00 0.000000000000000000e+00 1.387013078646692210e-01 1.687821540078195293e+00
1.563749999999999973e+00 0.000000000000000000e+00 1.830200496067585225e-01 1.661777137533760662e+00
1.586249999999999938e+00 0.000000000000000000e+00 2.725261289903620487e-01 1.572685819448888189e+00
1.608749999999999902e+00 0.000000000000000000e+00 4.004847277450680476e-01 1.408327088957822326e+00
1.631249999999999867e+00 0.000000000000000000e+00 4.862466595692289673e-01 1.223484300443953732e+00
1.653749999999999831e+00 0.000000000000000000e+00 6.071313596300578208e-01 1.004188743232685255e+00
1.676250000000000018e+00 0.000000000000000000e+00 7.003849439842187996e-01 8.420742594745728171e-01
1.698749999999999982e+00 0.000000000000000000e+00 8.358525651752412022e-01 6.650665259618596670e-01
1.721249999999999947e+00 0.000000000000000000e+00 9.904561189645155750e-01 5.368156321966747191e-01
1.743749999999999911e+00 0.000000000000000000e+00 1.118116540578304230e+00 4.433637968293543952e-01
1.766249999999999876e+00 0.000000000000000000e+00 1.181344033503721747e+00 3.509487303852556472e-01
1.788749999999999840e+00 0.000000000000000000e+00 1.243845393843710179e+00 3.072070720910992647e-01
1.811250000000000027e+00 0.000000000000000000e+00 1.317542164238010294e+00 2.847665373237937003e-01
1.833749999999999991e+00 0.000000000000000000e+00 1.334399878072796808e+00 2.996633044226504894e-01
1.856249999999999956e+00 0.000000000000000000e+00 1.323363684835724863e+00 3.075829488764653674e-01
1.878749999999999920e+00 0.000000000000000000e+00 1.284077778270932946e+00 3.412928215758726513e-01
1.901249999999999885e+00 0.000000000000000000e+00 1.229939035596156360e+00 3.811158938461456369e-01
1.923749999999999849e+00 0.000000000000000000e+00 1.208570724967334531e+00 4.271544474523897850e-01
1.946250000000000036e+00 0.000000000000000000e+00 1.156324872782244828e+00 4.671690208482405793e-01
1.968750000000000000e+00 0.000000000000000000e+00 1.047165247346526940e+00 5.530690119166589147e-01
1.991249999999999964e+00 0.000000000000000000e+00 9.625245251263335744e-01 5.955187709414738739e-01
2.013749999999999929e+00 0.000000000000000000e+00 8.683502849149861147e-01 6.393292448584604326e-01
2.036249999999999893e+00 0.000000000000000000e+00 7.951319125209428407e-01 7.009345237588320288e-01
2.058749999999999858e+00 0.000000000000000000e+00 7.150104214136462355e-01 7.671584068485709507e-01
2.081249999999999822e+00 0.000000000000000000e+00 6.338703984088940313e-01 8.368673934993431374e-01
2.103749999999999787e+00 0.000000000000000000e+00 5.831612499085838675e-01 8.618689004632982265e-01
2.126249999999999751e+00 0.000000000000000000e+00 5.171364487002858557e-01 9.134154067471867977e-01
2.148749999999999716e+00 0.000000000000000000e+00 4.515046789478979750e-01 9.789786996614797676e-01
2.171250000000000124e+00 0.000000000000000000e+00 4.071053678087763750e-01 1.007716827827088268e+00
2.193750000000000089e+00 0.000000000000000000e+00 3.595737521151401439e-01 1.038641833757417476e+00
2.216250000000000053e+00 0.000000000000000000e+00 3.305088770934179743e-01 1.096618671692197733e+00
2.238750000000000018e+00 0.000000000000000000e+00 2.943166104068278832e-01 1.126729992469506447e+00
2.261249999999999982e+00 0.000000000000000000e+00 2.745274527249091379e-01 1.132878813469686996e+00
2.283749999999999947e+00 0.000000000000000000e+00 2.467708456532590189e-01 1.127117611826404131e+00
2.306249999999999911e+00 0.000000000000000000e+00 2.270088761749833595e-01 1.172212406081507563e+00
2.328749999999999876e+00 0.000000000000000000e+00 2.163147626551890634e-01 1.196249749475830626e+00
2.351249999999999840e+00 0.000000000000000000e+00 2.159194979358230737e-01 1.195069101571188730e+00
2.373749999999999805e+00 0.000000000000000000e+00 2.021000355407248372e-01 1.178612322999708528e+00
2.396249999999999769e+00 1.434521343940803589e-03 1.824232975711389815e-01 1.166744026405185819e+00
2.418749999999999734e+00 7.039784500601940428e-03 1.843250241740942985e-01 1.159687166732492170e+00
2.441249999999999698e+00 9.674864920347598513e-03 1.850893800833165459e-01 1.131613664790657170e+00
2.463750000000000107e+00 2.080725267050857058e-02 1.790102227033426308e-01 1.141797990294156850e+00
2.486250000000000071e+00 4.397398668938966304e-02 1.855568983787124482e-01 1.116228571216528076e+00
2.508750000000000036e+00 8.899501644578954040e-02 1.832250338589784810e-01 1.076338011401346328e+00
2.531250000000000000e+00 2.005515924086148927e-01 1.975518891033576918e-01 1.056216960233189672e+00
2.553749999999999964e+00 3.490182721518438891e-01 2.094530644095809746e-01 1.018741814281575175e+00
2.576249999999999929e+00 5.977812368364693318e-01 2.194622464648770255e-01 1.009815916344514175e+00
2.598749999999999893e+00 8.350681580515407765e-01 2.400719315138435950e-01 9.759401720558538162e-01
2.621249999999999858e+00 1.159661013412369934e+00 2.528516561807984120e-01 9.415752111829415183e-01
2.643749999999999822e+00 1.561910653682355044e+00 2.809749987541003136e-01 9.151083671411082143e-01
2.666249999999999787e+00 1.948157056782749974e+00 3.085998192643573113e-01 9.039773178826379096e-01
2.688749999999999751e+00 2.313334424801297473e+00 3.392523354053126328e-01 8.539701944123655464e-01
2.711249999999999716e+00 2.589600558001484920e+00 3.699696167172176198e-01 8.481660849678170910e-01
2.733749999999999680e+00 2.710272397252086130e+00 4.226878667532227851e-01 8.231483402525822113e-01
2.756250000000000089e+00 2.915945928686172639e+00 4.548485313896316051e-01 8.051559918976971542e-01
2.778750000000000053e+00 2.945367832325668456e+00 5.042293355351681328e-01 7.808798454409234813e-01
2.801250000000000018e+00 2.868851144838991285e+00 5.720032210056762434e-01 7.666365237641454833e-01
2.823749999999999982e+00 2.944525522518822935e+00 6.056232326897417195e-01 7.441374873305084403e-01
2.846249999999999947e+00 2.804612438804166885e+00 6.647185674446735026e-01 7.176757509568368887e-01
2.868749999999999911e+00 2.593308824925248501e+00 7.233940382920586165e-01 7.580915962223592208e-01
2.891249999999999876e+00 2.372451450260661066e+00 7.933079558690380173e-01 7.355814790057801922e-01
2.913749999999999840e+00 2.191714378625913451e+00 8.722227651105340929e-01 7.271757090660125877e-01
2.936249999999999805e+00 1.966217887518803664e+00 9.265809756618008652e-01 7.342266504170071872e-01
2.958749999999999769e+00 1.779606154227198811e+00 9.997346874513916015e-01 7.254545355529631312e-01
2.981249999999999734e+00 1.579229300737557740e+00 1.054982015261885175e+00 7.222687999069655751e-01
3.003749999999999698e+00 1.381590877095794756e+00 1.123151217982667038e+00 7.341603504391205348e-01
3.026250000000000107e+00 1.238502226781651228e+00 1.182738146853935080e+00 7.364756039915569819e-01
3.048750000000000071e+00 1.120740151052804334e+00 1.232031361360959920e+00 7.469139356713273559e-01
3.071250000000000036e+00 1.097102130323999614e+00 1.257053740993416380e+00 7.698489942091791827e-01
3.093750000000000000e+00 9.876836809714122367e-01 1.319230417620471885e+00 7.705969468514255460e-01
3.116249999999999964e+00 8.844096588030428974e-01 1.363370644101110196e+00 7.950639260083621762e-01
3.138749999999999929e+00 8.402822846324158323e-01 1.398449895095956075e+00 8.042602331270299887e-01
3.161249999999999893e+00 8.316605577448226150e-01 1.414949412747222190e+00 8.294625780745368271e-01
3.183749999999999858e+00 8.337619936454422342e-01 1.452785579083471168e+00 8.449357045739280814e-01
3.206249999999999822e+00 8.167593901273105805e-01 1.457907498695202309e+00 8.570231174202125324e-01
3.228749999999999787e+00 7.830284029710284921e-01 1.474005535562518343e+00 8.777793171885974743e-01
3.251249999999999751e+00 7.509289198973050361e-01 1.468805018951670593e+00 8.816466573370546067e-01
3.273749999999999716e+00 7.447414082504645316e-01 1.457971570125006666e+00 9.216399092470060062e-01
3.296249999999999680e+00 7.391576921741479511e-01 1.465932913607601362e+00 9.373403998963968364e-01
3.318750000000000089e+00 7.239341666277253617e-01 1.455533958470257794e+00 9.509737817297231333e-01
3.341250000000000053e+00 7.343843629650538274e-01 1.433168546245182196e+00 9.770681439951172109e-01
3.363750000000000018e+00 7.418218142594282805e-01 1.446394806638313435e+00 9.778725731147961397e-01
3.386249999999999982e+00 7.319965043620968448e-01 1.422029519228135586e+00 1.007423059528111731e+00
3.408749999999999947e+00 7.277999812773475741e-01 1.389318178545508875e+00 1.012717133038763873e+00
3.431249999999999911e+00 7.411409594229034781e-01 1.387248897774432610e+00 1.046762490991097527e+00
3.453749999999999876e+00 7.483191167218857798e-01 1.342992275150367565e+00 1.059581659197177173e+00
3.476249999999999840e+00 7.825152772657034683e-01 1.328958146552582820e+00 1.089931993334371185e+00
3.498749999999999805e+00 7.841466773497139942e-01 1.291285017592192830e+00 1.110276330915642706e+00
3.521249999999999769e+00 8.224318183866899945e-01 1.283859470934689773e+00 1.102056422228316235e+00
3.543749999999999734e+00 8.306056565718881179e-01 1.252467624025284110e+00 1.113468533168327612e+00
3.566249999999999698e+00 8.756411016148997195e-01 1.225703243199850245e+00 1.131360254687594269e+00
3.588749999999999662e+00 8.664012455217320330e-01 1.202227663338689467e+00 1.134699957994445008e+00
3.611250000000000071e+00 8.592178334497345693e-01 1.195872897327738160e+00 1.152975167956166613e+00
3.633750000000000036e+00 8.461150402666940407e-01 1.170868091172690750e+00 1.159379308677056741e+00
3.656250000000000000e+00 8.273123867534417641e-01 1.153472285006784448e+00 1.179197428115242197e+00
3.678749999999999964e+00 8.379176718631635712e-01 1.143209830879167832e+00 1.162128916327410666e+00
3.701249999999999929e+00 8.488059958902920421e-01 1.133010695340689544e+00 1.177806005867603201e+00
3.723749999999999893e+00 8.623409458711794873e-01 1.107578434151651470e+00 1.188614721659752682e+00
3.746249999999999858e+00 8.975978302692797506e-01 1.100183391133239263e+00 1.169929168485243975e+00
3.768749999999999822e+00 9.157156532602542809e-01 1.087859370640082979e+00 1.184611678948454427e+00
3.791249999999999787e+00 9.621859961760759195e-01 1.093610249773282694e+00 1.186399975332648848e+00
3.813749999999999751e+00 9.810705024581564127e-01 1.077959945480408077e+00 1.179332825953763875e+00
3.836249999999999716e+00 9.968351158553098168e-01 1.072675182221618950e+00 1.183403544800717855e+00
3.858749999999999680e+00 1.003315248433422013e+00 1.060386755397241920e+00 1.175036866721167694e+00
3.881249999999999645e+00 1.044209339434361450e+00 1.056922483338280205e+00 1.153706417574559717e+00
3.903750000000000053e+00 1.022657934615898379e+00 1.044864169718330515e+00 1.166345338219875405e+00
3.926250000000000018e+00 1.041784127516687253e+00 1.044722995375130026e+00 1.154796955164035799e+00
3.948749999999999982e+00 1.037165457325180729e+00 1.039234505563478184e+00 1.139033066334114164e+00
3.971249999999999947e+00 1.056784113426715965e+00 1.053867946392136989e+00 1.143442151722951383e+00
3.993749999999999911e+00 1.057821013053220183e+00 1.038583991375645610e+00 1.130121228754173091e+00
4.016249999999999432e+00 1.093323067845587637e+00 1.044725257496852855e+00 1.124303108067896462e+00
4.038750000000000284e+00 1.135208668103738772e+00 1.046331121134761677e+00 1.105793229973380365e+00
4.061250000000000249e+00 1.133152583672676572e+00 1.037224983211184171e+00 1.096030058895387960e+00
4.083750000000000213e+00 1.130743487664437108e+00 1.050358294325451025e+00 1.094275857711369371e+00
4.106250000000000178e+00 1.100799028970300464e+00 1.036884292450944489e+00 1.089400222457294287e+00
4.128750000000000142e+00 1.103652390660039728e+00 1.033868765696020153e+00 1.081666320705997553e+00
4.151250000000000107e+00 1.084073346549491168e+00 1.032251645202458823e+00 1.072163516647292480e+00
4.173750000000000071e+00 1.107880273907559054e+00 1.034549601345959857e+00 1.058507177335993976e+00
4.196250000000000036e+00 1.121915767126732355e+00 1.019430827871133038e+00 1.059348887132348427e+00
4.218750000000000000e+00 1.142994622811624783e+00 1.033616408805221543e+00 1.054288736981326080e+00
4.241249999999999964e+00 1.124336094311085388e+00 1.014703403605283105e+00 1.054427605145394464e+00
4.263749999999999929e+00 1.116578949097391860e+00 1.031094885092371349e+00 1.044385693630254242e+00
4.286249999999999893e+00 1.161229947598614753e+00 1.032142126847224839e+00 1.042342119630185859e+00
4.308749999999999858e+00 1.154310191143147035e+00 1.032852504470973320e+00 1.040358108852845964e+00
4.331249999999999822e+00 1.179963342730276254e+00 1.031187265096275896e+00 1.029357751106678931e+00
4.353749999999999787e+00 1.179097356379227524e+00 1.023743312802234184e+00 1.028016454327195683e+00
4.376249999999999751e+00 1.182631116555464601e+00 1.027400926053533503e+00 1.023745077651040392e+00
4.398749999999999716e+00 1.194545281337054954e+00 1.010141433261800614e+00 1.029724142791916153e+00
4.421249999999999680e+00 1.178485057142354631e+00 1.017057887664302829e+00 1.024502429741602771e+00
4.443749999999999645e+00 1.200090933994285347e+00 1.003517123551183721e+00 1.026181336532422161e+00
4.466249999999999609e+00 1.218174477165543390e+00 1.000898950362628215e+00 1.027533612659976114e+00
4.488749999999999574e+00 1.178057407179772920e+00 1.002438959116970674e+00 1.022777312849946885e+00
